id;rule_id;original_rule_id;xPath;parent;realName;ECA;operator;nextOperator;value;completeName
237;98;1503966898;environment/twentyFourHoursWeatherForecast/@outdoorTemperature;twentyfourhoursweatherforecast;outdoortemperature;condition;more;NEXTOPERATOR;20;twentyfourhoursweatherforecast-outdoortemperature
238;98;1503966898;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Tomorrow the weather will be excellent: remember to go out for a walk!;reminders-reminders
239;99;80470413;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;event;equal;and;INSIDE;relativeposition-typeofproximity
240;99;80470413;user/position/relativePosition/@pointOfInterest;relativeposition;pointofinterest;event;equal;and;KITCHEN;relativeposition-pointofinterest
241;99;80470413;environment/@lightLevel;kitchen;lightlevel;condition;equal;NEXTOPERATOR;LOW_LIGHT;kitchen-lightlevel
242;99;80470413;applianceState/Kitchen/lightColor;kitchen;hue color light kitchen;action;OPERATOR;NEXTOPERATOR;update:lightColor;kitchen-hue color light kitchen
243;100;471448302;environment/dateTime/@localTime;datetime;localtime;event;equal;and;18:30;datetime-localtime
244;100;471448302;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;TRIGGER;equal;and;INSIDE;relativeposition-typeofproximity
245;100;471448302;user/position/relativePosition/@pointOfInterest;relativeposition;pointofinterest;TRIGGER;equal;and;KITCHEN;relativeposition-pointofinterest
246;100;471448302;environment/@lightLevel;kitchen;lightlevel;condition;equal;NEXTOPERATOR;DARK;kitchen-lightlevel
247;100;471448302;applianceState/Kitchen/lightColor;kitchen;hue color light kitchen;action;OPERATOR;NEXTOPERATOR;update:lightColor;kitchen-hue color light kitchen
248;101;1059760973;environment/dateTime/@localTime;datetime;localtime;event;equal;and;09:00;datetime-localtime
249;101;1059760973;environment/dateTime/@localDate;datetime;localdate;condition;equal;NEXTOPERATOR;12/06/2020;datetime-localdate
250;101;1059760973;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;remember to go to the appointment!;reminders-reminders
251;101;1059760973;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;the Elder has an appointment;reminders-reminders
252;102;45466234;user/cognitive/@emotionalState;cognitive;emotionalstate;event;equal;NEXTOPERATOR;SAD;cognitive-emotionalstate
253;102;45466234;applianceState/LivingRoom/@scene;livingroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;livingroom-relax
254;103;1623028136;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;09:00;datetime-localtime
255;103;1623028136;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;remember to take the medicine;reminders-reminders
256;104;1831712457;user/physiological/@heartRate;physiological;heartrate;event;equal;and;100;physiological-heartrate
257;104;1831712457;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;TRIGGER;equal;and;INSIDE;relativeposition-typeofproximity
258;104;1831712457;user/position/relativePosition/@pointOfInterest;relativeposition;pointofinterest;TRIGGER;equal;NEXTOPERATOR;BEDROOM;relativeposition-pointofinterest
259;104;1831712457;applianceState/Bedroom/@scene;bedroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;bedroom-relax
260;105;2014942980;user/physiological/@heartRate;physiological;heartrate;event;equal;NEXTOPERATOR;130;physiological-heartrate
261;105;2014942980;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Elderly heart rate is 130;alarms-alarms
262;106;1388005434;environment/dateTime/@localTime;datetime;localtime;event;equal;and;20:00;datetime-localtime
263;106;1388005434;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;TRIGGER;equal;and;OUTSIDE;relativeposition-typeofproximity
264;106;1388005434;user/position/relativePosition/@pointOfInterest;relativeposition;pointofinterest;TRIGGER;equal;NEXTOPERATOR;HOUSE;relativeposition-pointofinterest
265;106;1388005434;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Elderly is outside house!;alarms-alarms
266;107;1269287404;environment/@motion;bedroom;motion;event;equal;and;TRUE;bedroom-motion
267;107;1269287404;environment/dateTime/@localTime;datetime;localtime;condition;gt;and;00:00;datetime-localtime
268;107;1269287404;environment/dateTime/@localTime;datetime;localtime;condition;lt;NEXTOPERATOR;06:00;datetime-localtime
269;107;1269287404;applianceState/Corridor/lightColor;corridor;light strip corridor;action;OPERATOR;NEXTOPERATOR;update:lightColor;corridor-light strip corridor
270;108;1588154226;environment/dateTime/@localTime;datetime;localtime;event;equal;and;15:00;datetime-localtime
271;108;1588154226;user/physiological/@steps;physiological;steps;condition;less;NEXTOPERATOR;1000;physiological-steps
272;108;1588154226;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;you should move more!;reminders-reminders
273;109;334201783;environment/dateTime/@localTime;datetime;localtime;event;equal;and;15:00;datetime-localtime
274;109;334201783;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;TRIGGER;equal;and;INSIDE;relativeposition-typeofproximity
275;109;334201783;user/position/relativePosition/@pointOfInterest;relativeposition;pointofinterest;TRIGGER;equal;NEXTOPERATOR;LIVINGROOM;relativeposition-pointofinterest
276;109;334201783;applianceState/LivingRoom/@scene;livingroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;livingroom-relax
277;110;537784833;user/cognitive/@trainingResult;cognitive;trainingresult;event;equal;NEXTOPERATOR;NOT_PROGRESSING;cognitive-trainingresult
278;110;537784833;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Keep trying the results will improve!;reminders-reminders
279;111;1802140655;environment/currentWeather/@outdoorCondition;currentweather;outdoorcondition;event;equal;and;CLEAR_SKY;currentweather-outdoorcondition
280;111;1802140655;environment/dateTime/@localTime;datetime;localtime;condition;gt;and;09:30;datetime-localtime
281;111;1802140655;environment/dateTime/@localTime;datetime;localtime;condition;lt;NEXTOPERATOR;11:00;datetime-localtime
282;111;1802140655;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;weather is good you should go out for a walk;reminders-reminders
283;112;24867418;environment/@motion;bedroom;motion;event;equal;NEXTOPERATOR;TRUE;bedroom-motion
284;112;24867418;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;no motion in bedroom;alarms-alarms
285;113;1919962984;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;medicine x;activity-medicationname
286;113;1919962984;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take the medicine;reminders-reminders
287;114;896802317;user/cognitive/@trainingResult;cognitive;trainingresult;event;equal;NEXTOPERATOR;NOT_PROGRESSING;cognitive-trainingresult
288;114;896802317;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Training is not progressing;reminders-reminders
289;115;541443398;user/cognitive/@trainingResult;cognitive;trainingresult;event;equal;NEXTOPERATOR;NOT_PROGRESSING;cognitive-trainingresult
290;115;541443398;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;livingroom-hue color light living room
291;115;541443398;applianceState/LivingRoom/@scene;livingroom;activate;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;livingroom-activate
292;116;490024077;environment/@windowSensor;kitchen;windowsensor;condition;equal;NEXTOPERATOR;OPEN;kitchen-windowsensor
293;116;490024077;applianceState/Kitchen/allLight;kitchen;alllight;action;OPERATOR;NEXTOPERATOR;invokeFunctions:changeApplianceState;kitchen-alllight
294;117;2082796164;environment/@lightLevel;bedroom;lightlevel;event;equal;NEXTOPERATOR;NO_LIGHT;bedroom-lightlevel
