;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
26;2;pacchetto del buongiorno;comfort;azione;bathroom ;riscaldamento;attiva riscaldamento;uguale;ON;AND;;temperature
27;2;pacchetto del buongiorno;comfort;azione;bathroom;ALEXA;Notizie del giorno ;uguale;ON;;;notification
28;2;GAME OVER ;wellbeing;condizione;dedicated room;Console;Accesa;uguale;TRUE;AND;;device
29;2;GAME OVER ;wellbeing;condizione;dedicated room;Sensore VR;Indossato;uguale;TRUE;;;device
30;2;GAME OVER ;wellbeing;azione;dedicated room;porta della stanza;Chiusura;uguale ;TRUE;AND;;doors and windows
31;2;GAME OVER ;wellbeing;azione;dedicated room;Avviso ;avvisa l'utente ;uguale;dopo 2 ore;;;notification
32;2;Back to sci-fi;comfort;evento;dedicated room;porta della stanza;chiusa;uguale;TRUE;AND;;doors and windows
33;2;Back to sci-fi;comfort;condizione;dedicated room;proiettore;accesso;uguale;TRUE;AND;;device
34;2;Back to sci-fi;comfort;condizione;dedicated room;proiettore;proietta un film ;uguale;TRUE;;;device
35;2;Back to sci-fi;comfort;azione;dedicated room;luci;spegnimento ;uguale ;TRUE;AND;;lights
36;2;Back to sci-fi;comfort;azione;dedicated room;cellulare;modalità silenziosa;uguale ;TRUE;;;personal device
37;3;Aspiratore Cucina;wellbeing/comfort;evento;kitchen;movimento;rilevato uso piano cottura;uguale;TRUE;WHILE;;feeding
38;3;Aspiratore Cucina;wellbeing/comfort;azione;kitchen;aspiratore piano cottura;accensione;uguale;TRUE;;;feeding
39;3;Controllo Temperatura e Aria;health;condizione;home;misuratore temperatura;temperatura interna;minore uguale di ;17°;;;temperature
40;3;Controllo Temperatura e Aria;health;azione;home;riscaldamenti;accensione/aumento calore;uguale;TRUE;AND;;temperature
41;3;Controllo Temperatura e Aria;health;azione;home;misuratore qualità aria;controllo umidità;minore di ;35%;;;air and humidity
42;3;Controllo Temperatura e Aria;health;azione;home;umidificatore;accensione;uguale;TRUE;;;air and humidity
43;3;Robot Aspirapolvere;wellbeing/comfort;evento;home;pavimento;controllo umidità;minore uguale di;35%;AND;;air and humidity
44;3;Robot Aspirapolvere;wellbeing/comfort;condizione;no;robot aspirapolvere;timer tempo in OFF;maggiore di;48h;;;scheduling
45;3;Robot Aspirapolvere;wellbeing/comfort;azione;home;robot aspirapolvere;accensione;uguale;TRUE;;;hygiene
46;3;Sistema Antifurto;security;condizione;outside home;telecamera e sensori;individua movimento;uguale;TRUE;AND;Dopo le 22:00;entrances
47;3;Sistema Antifurto;security;condizione;outside home;telecamera e sensori;individua poss. intrusione;uguale;TRUE;;Dopo le 22:00;entrances
48;3;Sistema Antifurto;security;azione;outside home;allarme antifuro;attivazione;uguale;TRUE;AND;Dopo le 22:00;entrances
49;3;Sistema Antifurto;security;azione;no;telefono;notifica;utenti casa;"""ATTENZIONE TENTATA INTRUSIONE""";;Dopo le 22:00;notification
50;3;Festa in Casa;social;condizione;no;calendario;Festa in casa oggi;uguale;TRUE;AND;Contesto di festa;scheduling
51;3;Festa in Casa;social;evento;no;calendario;orario di inizio ;uguale;TRUE;;Contesto di festa;scheduling
52;3;Festa in Casa;social;azione;home;altoparlanti;riproduci playlist;uguale;TRUE;AND;Contesto di festa;device
53;3;Festa in Casa;social;azione;home;luci;attiva luci dinamiche;uguale;TRUE;;Contesto di festa;lights
54;3;Riparo dal Maltempo;comfort;evento;outside home;Sensori;Individua pioggia;uguale;TRUE;AND;Pioggia;weather
55;3;Riparo dal Maltempo;comfort;condizione;home;tapparelle e finestre;non abbassate o chiuse;uguale;TRUE;OR;Pioggia;doors and windows
56;3;Riparo dal Maltempo;comfort;condizione;outside home;stendino automatico;panni stesi fuori;uguale;TRUE;;Pioggia;smart object
57;3;Riparo dal Maltempo;comfort;azione;home;tapparelle e finestre;chiusura tapparelle e finestre;uguale;TRUE;AND;Pioggia;doors and windows
